ticker	market cap	industry	sector	current price	gross margin	net income margin	expenses portion	ROE	ROA	receivables turnover days	inventories turnover days	total assets turnover days	liability/asset ratio	current ratio	acid-test ratio	revenue growth	net income growth	operating income growth	free cash flow growth	wacc	roic	excess return	economic profit	stockholders equity growth	dividend yield	dividend payout ratio	dcf	beta	annual return	annual risk
CTIC	7.5892048E7	Biotechnology	Healthcare	1.03	0.9585655000237999	-2.520576485661884	3.3869298210375454	-2.1600346738850185	-0.7442261820737084	7.537505749262493	856.4320068341729	1126.068059336343	0.5855274813917348	2.2934921723410002	2.2494023474390863	0.409241523940436	-0.08037033970981881	-0.09744954714405238	-0.15686961089817394	0.11153803223443641	-1.162460763767079	-1.2739987960015153	-73793480.01229195	0.3509871799603662	0.0	0.0	-57.76163275404183	1.1148707902435064	-0.32714569540555316	0.6812901496589355
QLYS	4.07253965E9	Application Software	Technology	104.4	0.7804443508838	0.1579916813554695	0.606505819934854	0.12251124520078678	0.07439513078941061	86.6475559811294	0.0	686.5126811243813	0.38753902868362794	2.054710839315939	2.054710839315939	0.19245210267914156	0.29337840006547394	0.584049614257727	0.3937273988179271	0.0901976218337184	0.11721751150550112	0.027019889671782732	11454715.39651722	0.21228345770110035	0.0	0.0	84.8973138445346	0.9041525279398803	0.25322730183698855	0.3480180393514675
BSRR	2.82989696E8	Banks	Financial Services	18.63	1.0	0.3037255249329724	0.40231479941559095	0.09631143381800863	0.010535198162293608	0.0	0.0	9925.505262843011	0.891187938294706	18.289522834082042	18.289522834082042	0.08131248785413644	0.20013720854667572	0.21087677176129666	0.3425342791728531	0.11800011921380708	0.08041201639610293	-0.03758810281770415	-10956308.514745457	0.10834521466251057	0.02245842896215185	0.3467491383272365	34.26067038518767	1.2187910533219493	0.062131151079767126	0.3017098537159192
NFBK	5.604489E8	Banks	Financial Services	11.37	1.0	1.8643699269902647	1.9037673669112167	0.046736551396262704	0.007228217403696268	125.11240477902825	0.0	79406.34915305687	0.8429959936078404	2059.0283939823157	2059.0283939823157	-0.10935720535069204	0.17431009625090557	0.06285629214507907	0.14316349007957557	0.05988831902001063	0.025360679843561017	-0.03452763917644961	-41093642.14649205	0.03359197560692053	0.021775720322926535	0.5524102368334111	4.176336900478701	0.745350976861789	-0.03297055100956183	0.21310541301983713
CBM	2.02312678E9	Biotechnology	Healthcare	59.99	0.39105039133780006	0.1633712511992798	0.17408961885945093	0.1886059525107022	0.11563976988516197	71.48613473726708	141.65028579759783	473.92669036841744	0.3873326504884817	3.3444891512113637	2.1952363505453376	0.11025090621837023	0.3587194457876158	0.2054616343070003	0.9192748948968438	0.0	0.15817867518258744	0.0	0.0	0.2560750576621452	0.0	0.0	-101537.31894358696	nan	nan	nan
INSUU	1.5277768E8	Shell Companies	Financial Services	10.39	0.0	0.0	0.0	0.2651642939342824	0.008624980291941305	0.0	0.0	0.0	0.9674730705104704	0.6749155755256784	0.6749155755256784	0.0	0.0	0.0	0.0	0.022920388802468925	0.2209702596765801	0.1980498708741112	1188299.621344409	0.0	0.0	0.0	0.0	0.2237740530087127	0.01461050354340392	0.05125576237729901
GNE	2.10174848E8	Oil & Gas - E&P	Energy	7.98	0.2746027067774	-0.037356832193519776	0.2581978824610851	-0.0822552210139513	-0.061928630398427685	0.0	15.704878373339705	202.2908154269331	0.24486913639250432	2.688440760841228	2.475268430367524	0.05871334082662853	-0.7854733543771406	-8.660246135892287	-3.0896881500955824	0.07829133110821304	-0.0788147207372634	-0.15710605184547646	-17242908.677929625	-0.01886624654124198	14.965735728767442	-0.15755225647999022	-2.352796866040491	0.984775453414106	0.029217495631989786	0.4993036093379148
BBDC	3.27099488E8	Credit Services	Financial Services	6.82	0.7543799999999999	-0.13803278292341753	0.29671930993008866	-0.00881106420241351	-0.0033266300543941044	10.42354950926239	0.0	3640.148027474295	0.48660345784544334	0.0	0.0	-0.026700767757343268	-1.0145607366104858	-0.15780317177037423	-5.211444170342054	0.0	0.0	0.0	0.0	0.05556046254072664	0.10244076946382538	0.6494992033268296	-8.530229094035398	0.6763429118932142	-0.20216320304210872	0.3019071500371968
CREE	5.0456643E9	Semiconductors	Technology	46.65	0.3044401136903999	-0.1307834464148711	0.3552183319306834	-0.07977200249123963	-0.061160189993533384	41.86233928947361	102.48247655710088	700.0359070818489	0.19274837450627333	4.873077427353392	3.7341516295772763	-0.07413408726775554	-1.3202307659317323	-3.428117315512872	0.6729483987840454	0.10852020864412859	-0.07437589316048233	-0.18289610180461094	-430753843.782907	-0.07227329735931079	0.0	0.0	7.994267433168884	1.1513536261557011	0.15745638329535122	0.4318942087155319
CFG	9.4702316E9	Banks	Financial Services	22.2	1.0	0.3377551561810709	0.44231632256633924	0.06810416733866254	0.009087870742162515	0.0	0.0	13112.152666479014	0.865815740539527	0.0	0.0	0.06995899771415219	0.1756897420341553	0.12598521358882434	0.05562363123284557	0.12370745776386882	0.042072383682090576	-0.08163507408177824	-2705715477.6022058	0.02894277350676102	0.008922201045946902	0.0918061199001948	45.5989705282668	1.7578896863420943	0.03944177152605395	0.3826767028171394
